call_id,campaign_id,provider,outcome,talk_time_seconds,timestamp
C-001,1,ProviderA,ANSWERED,120,2026-08-20T10:00:00Z
C-002,1,ProviderA,NO_ANSWER,0,2026-08-20T10:01:00Z
C-003,1,ProviderB,ANSWERED,45,2026-08-20T10:02:00Z
C-004,1,ProviderA,FAILED,0,2026-08-20T10:03:00Z
C-005,1,ProviderA,ANSWERED,180,2026-08-20T10:04:00Z
C-006,1,ProviderB,NO_ANSWER,0,2026-08-20T10:05:00Z
C-007,1,ProviderA,ANSWERED,90,2026-08-20T10:06:00Z
C-008,1,ProviderA,ANSWERED,110,2026-08-20T10:07:00Z
C-009,1,ProviderB,NO_ANSWER,0,2026-08-20T10:08:00Z
C-010,1,ProviderA,ANSWERED,60,2026-08-20T10:09:00Z
